parameter_name,long_name,classification,classification_confidence,classification_reasoning,value_type,value_details,defined_by_extensions,defined_by_summary,has_requirements,num_csr_references,csr_names,spec_file,spec_line,spec_score,spec_is_normative,spec_in_note,spec_text,description
TRAP_ON_ECALL_FROM_S,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^TRAP_ON_),binary,"choices: [True, False]",S,ext:S,False,0,,rv32.adoc,925,5,True,False,[#norm:ecall_op]#The `ECALL` instruction is used to make a service request to the execution environment.#,"Whether or not an ECALL-from-S-mode causes a synchronous exception.

The spec states that implementations may handle ECALLs transparently
without raising a trap, in which case the EEI must provide a builtin."
TRAP_ON_ECALL_FROM_U,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^TRAP_ON_),binary,"choices: [True, False]",U,ext:U,False,0,,rv32.adoc,925,5,True,False,[#norm:ecall_op]#The `ECALL` instruction is used to make a service request to the execution environment.#,"Whether or not an ECALL-from-U-mode causes a synchronous exception.

The spec states that implementations may handle ECALLs transparently
without raising a trap, in which case the EEI must provide a builtin."
TRAP_ON_ECALL_FROM_VS,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^TRAP_ON_),binary,"choices: [True, False]",H,ext:H,False,0,,machine.adoc,932,5,True,False,"[#norm:mstatus_sd_rdonly0]#If FS, XS, and VS are all read-only zero, then SD is also always zero.#","Whether or not an ECALL-from-VS-mode causes a synchronous exception.

The spec states that implementations may handle ECALLs transparently
without raising a trap, in which case the EEI must provide a builtin."
TRAP_ON_ILLEGAL_WLRL,Whether or not writing an illegal value to a WLRL CSR field causes a trap.,NORM_DIRECT,high,Trap/report behavior parameter (matches ^TRAP_ON_),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,hypervisor.adoc,25,3,True,False,"registers. [#norm:H_mtval_nrz]#CSR `mtval` must not be read-only zero#, and","Options:

  * true: Writing an illegal value to a WLRL CSR field will cause an IllegalInstruction exception.
  * false: Writing an illegal value to a WLRL CSR field causes unpredictable behavior."
TRAP_ON_RESERVED_INSTRUCTION,"Whether or not fetching an unimplemented standard instruction and/or an undefined standard
instruction from the standard/reserved opcode space causes a trap",NORM_DIRECT,high,Trap/report behavior parameter (matches ^TRAP_ON_),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,c-st-ext.adoc,756,6,True,False,[#norm:Zca_illegal]#A 16-bit instruction with all bits zero is permanently reserved as an,"Options:

  * true: Fetching an unimplemented and/or undefined instruction from the standard/reserved opcode space will cause an IllegalInstruction exception.
  * false: Fetching an unimplemented and/or undefined instruction from the standard/reserved opcose space causes unpredictable behavior.

TRA"
TRAP_ON_SFENCE_VMA_WHEN_SATP_MODE_IS_READ_ONLY,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^TRAP_ON_),binary,"choices: [True, False]","S, Sv32, Sv39, Sv48, Sv57","ext:S AND NONE(ext:Sv32, ext:Sv39, ext:Sv48, ext:Sv57)",False,0,,hypervisor.adoc,250,9,False,False,VS-mode to execute SFENCE.VMA or SINVAL.VMA or to access CSR `satp`,"For implementations that make `satp`.MODE read-only zero
(always Bare, _i.e._, no virtual translation is implemented),
attempts to execute an SFENCE.VMA instruction might raise an
illegal-instruction exception.

TRAP_ON_SFENCE_VMA_WHEN_SATP_MODE_IS_READ_ONLY indicates whether
or not that exception o"
TRAP_ON_UNIMPLEMENTED_CSR,Whether or not fetching an unimplemented instruction causes a trap,NORM_DIRECT,high,Trap/report behavior parameter (matches ^TRAP_ON_),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,v-st-ext.adoc,5140,8,True,False,[#norm:Zve32x_dependent_Zicsr]#The Zve32x extension depends on the Zicsr extension.#,"Options:

  * true: Accessing an unimplemented CSR (via a `Zicsr` instruction) will cause an IllegalInstruction exception.
  * false: Accessing an unimplemented CSR (via a `Zicsr` instruction) will cause unpredictable behavior."
TRAP_ON_UNIMPLEMENTED_INSTRUCTION,Whether or not fetching an unimplemented instruction causes a trap,NORM_DIRECT,high,Trap/report behavior parameter (matches ^TRAP_ON_),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,c-st-ext.adoc,310,5,True,False,[#norm:c-ldsp_op]#C.LDSP is an RV64C-only instruction that loads a 64-bit value,"Options:

  * true: Fetching an unimplemented instruction will cause an IllegalInstruction exception.
  * false: Fetching an unimplemented instruction causes unpredictable behavior.

An unimplemented instruction is any instruction encoding that is not defined by the implementation.
Custom instructio"
UXLEN,TODO,NORM_DIRECT,high,Well-known architectural parameter 'UXLEN',set,"subset of [32, 64]",U,ext:U,True,2,mstatus,machine.adoc,575,11,False,False,"When MXLEN=32, the SXL and UXL fields do not exist, and SXLEN=32 and UXLEN=32.","Set of XLENs supported in U-mode. When both 32 and 64 are supported, SXLEN can be changed,
via mstatus.UXL, between 32 and 64."
U_MODE_ENDIANNESS,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of mstatus.UBE,enum,"values: ['little', 'big', 'dynamic']",U,ext:U,False,2,mstatus,machine.adoc,679,14,True,False,"[#norm:mstatus_mstatush_xbe_warl]#The MBE, SBE, and UBE bits in `mstatus` and `mstatush` are *WARL* fields# that","Endianness of data in U-mode. Can be one of:

 * little:  U-mode data is always little endian
 * big:     U-mode data is always big endian
 * dynamic: U-mode data can be either little or big endian,
            depending on the CSR field `mstatus.UBE`"
VENDOR_ID_BANK,"JEDEC Vendor ID bank, for `mvendorid`.",NORM_DIRECT,high,Well-known architectural parameter 'VENDOR_ID_BANK',range,[0..33554431],Sm,ext:Sm,False,1,mvendorid,machine.adoc,263,12,True,False,[#norm:mvendorid_sz_acc_op]#The `mvendorid` CSR is a 32-bit read-only register providing the JEDEC,"Encodes the number of one-byte continuation codes in the Bank field of `mvendorid`.

iN JEDEC’s parlance, the bank number is one greater than the number of continuation codes; hence, the mvendorid Bank field encodes a value that is one less than the JEDEC bank number."
VENDOR_ID_OFFSET,"JEDEC Vendor ID offset, for `mvendorid`.",NORM_DIRECT,high,Well-known architectural parameter 'VENDOR_ID_OFFSET',range,[0..127],Sm,ext:Sm,False,1,mvendorid,machine.adoc,263,7,True,False,[#norm:mvendorid_sz_acc_op]#The `mvendorid` CSR is a 32-bit read-only register providing the JEDEC,"Encodes the final byte of a JEDEC manufactor ID, discarding the parity bit."
VLEN,TODO,NORM_DIRECT,high,Well-known architectural parameter 'VLEN',value,{'base': 'integer'},V,ext:V,False,2,"vlenb, vstart",v-st-ext.adoc,511,12,False,False,"The _XLEN_-bit-wide read-only CSR `vlenb` holds the value VLEN/8,",The number of bits in a single vector register.
VMID_WIDTH,TODO,NORM_DIRECT,high,Well-known architectural parameter 'VMID_WIDTH',conditional,2 conditional branches,H,ext:H,False,3,hgatp,hypervisor.adoc,1089,8,False,False,"bit position in the VMID field, then reading back the value in `hgatp`","Number of bits supported in `hgatp.VMID` (i.e., the supported width of a virtual machine ID)."
VSSTAGE_MODE_BARE,TODO,NORM_DIRECT,medium,Translation/mode parameter,binary,"choices: [True, False]",H,ext:H,True,0,,priv-cfi.adoc,216,6,True,False,[#norm:satp-mode_bare]#If `satp.MODE` (or `vsatp.MODE` when `V=1`) is set to `Bare` and the effective,Whether or not writing mode=Bare is supported in the `vsatp` register.
VSTVEC_MODE_DIRECT,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of vstvec.MODE,binary,"choices: [True, False]",H,ext:H,True,1,vstvec,machine.adoc,423,7,True,False,"[#norm:mstatus_sie_spie_rdonly0]#If supervisor mode is not implemented, then SIE and SPIE are read-only 0.#",Whether or not `vstvec.MODE` supports Direct (0).
VSTVEC_MODE_VECTORED,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of vstvec.MODE,binary,"choices: [True, False]",H,ext:H,True,1,vstvec,machine.adoc,1256,9,True,False,"[#norm:mtvec_mode_vectored_op]#When MODE=Vectored, all synchronous exceptions into machine mode cause",Whether or not `stvec.MODE` supports Vectored (1).
VSXLEN,TODO,NORM_DIRECT,high,Well-known architectural parameter 'VSXLEN',set,"subset of [32, 64]",H,ext:H,True,3,hstatus,hypervisor.adoc,1184,20,False,False,"encoded the same as the MXL field of `misa`, shown in <<norm:misa_mxl_enc>>. In particular, an implementation may make UXL be a read-only copy of field VSXL of `hstatus`, forcing VU-mode XLEN=VSXLEN.","Set of XLENs supported in VS-mode. Can be one of:

  * [32]:     VSXLEN is always 32
  * [64]:     VSXLEN is always 64
  * [32, 64]: VSXLEN can be changed (via `hstatus.VSXL`) between 32 and 64"
VS_MODE_ENDIANNESS,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of hstatus.VSBE,enum,"values: ['little', 'big', 'dynamic']",H,ext:H,False,2,hstatus,hypervisor.adoc,339,14,False,False,"accesses made from VS-mode are little-endian, and if VSBE=1, they are","Endianness of data in VS-mode. Can be one of:

 * little:  VS-mode data is always little endian
 * big:     VS-mode data is always big endian
 * dynamic: VS-mode data can be either little or big endian,
            depending on the CSR field `hstatus.VSBE`"
VUXLEN,TODO,NORM_DIRECT,high,Well-known architectural parameter 'VUXLEN',set,"subset of [32, 64]",H,ext:H,True,2,vsstatus,hypervisor.adoc,1181,6,False,False,"The UXL field controls the effective XLEN for VU-mode, which may differ","Set of XLENs supported in VU-mode. When both 32 and 64 are supported, VUXLEN can be changed
via `vsstatus.UXL`."
VU_MODE_ENDIANNESS,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of vsstatus.UBE,enum,"values: ['little', 'big', 'dynamic']",H,ext:H,False,2,vsstatus,hypervisor.adoc,2359,10,True,False,"* [#norm:H_virtinst_vu_nonhighctr_h0_s0_m1]#in VU-mode, attempts to access a non-high-half counter CSR when the","Endianness of data in VU-mode. Can be one of:

 * little:  VU-mode data is always little endian
 * big:     VU-mode data is always big endian
 * dynamic: VU-mode data can be either little or big endian,
            depending on the CSR field `vsstatus.UBE`"
